fHI	fHeI	fHeII	z	T(K)
0.997862	0.997862	0.002138	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	0.984712	0.0152977	0.0098	0	0	0	1
10.404	0	0.983345	0.0166644	0.010401	0	0	0	1
10.6121	0	0.978771	0.0212389	0.015301	0	0	0	1
10.8243	0	0.969294	0.0307154	0.0227015	0	0	0	1
11.0408	0	0.965647	0.0343623	0.0267023	0	0	0	0.508553
11.2616	0	0.963694	0.0363148	0.0264027	0	0	0	0.504964
11.4869	0	0.947359	0.0526493	0.0405026	0	0	0	0.501423
11.7166	0	0.943691	0.0563174	0.0428041	0	0	0	0.497932
11.9509	0	0.925168	0.0748406	0.0623043	0	0	0	0.494489
12.1899	0	0.919985	0.0800229	0.0642062	0	0	0	0.491093
12.4337	0	0.915503	0.0845054	0.0710064	0	0	0	0.487743
12.6824	0	0.902738	0.0972694	0.0836071	0	0	0	0.48444
12.9361	0	0.879804	0.120203	0.101908	0	0	0	0.481183
13.1948	0	0.871633	0.128375	0.11031	0	0	0	0.47797
13.4587	0	0.85128	0.148727	0.134711	0	0	0	0.474801
13.7279	0.00148581	0.835821	0.162701	0.149213	0.0015	0	0	0.471676
14.0024	0.00116549	0.831222	0.16762	0.159715	0.00120015	0	0	0.468594
14.2825	0.00180906	0.806819	0.191379	0.182016	0.00190012	0	0	0.465555
14.5681	0.0043872	0.801507	0.194113	0.191418	0.00470019	0	0	0.462557
14.8595	0.00631466	0.783674	0.210019	0.210419	0.00690047	0	0	0.459601
15.1567	0.00897225	0.772447	0.218588	0.225221	0.0100007	0	0	0.456685
15.4598	0.0124908	0.764729	0.222787	0.230523	0.014201	0	0	0.453809
15.769	0.0125912	0.748432	0.238984	0.253623	0.0146014	0	0	0.450973
16.0844	0.0189386	0.730799	0.25027	0.271825	0.0224015	0	0	0.448176
16.4061	0.0227121	0.727752	0.249543	0.280827	0.0274022	0	0	0.445418
16.7342	0.0287679	0.702209	0.269031	0.310328	0.0354027	0	0	0.442697
17.0689	0.0372863	0.684316	0.278406	0.323831	0.0468035	0	0	0.440014
17.4102	0.0378057	0.674592	0.287612	0.343532	0.0484047	0	0	0.437368
17.7584	0.0477081	0.669177	0.283125	0.350634	0.0623048	0	0	0.434759
18.1136	0.0554068	0.655925	0.288678	0.360635	0.0738062	0	0	0.432185
18.4759	0.0588843	0.644805	0.296321	0.375136	0.0800074	0	0	0.429647
18.8454	0.0677598	0.638513	0.293738	0.389238	0.093908	0	0	0.427143
19.2223	0.0737892	0.628017	0.298206	0.405139	0.104309	0	0	0.424674
19.6068	0.0812203	0.612379	0.306413	0.424841	0.11711	0	0	0.422239
19.9989	0.0852041	0.606853	0.307955	0.438142	0.125312	0	0	0.419838
20.3989	0.0914	0.600161	0.308452	0.446644	0.137113	0	0	0.41747
20.8069	0.0978431	0.597162	0.305008	0.450245	0.149714	0	0	0.415134
21.223	0.102461	0.58814	0.309413	0.461245	0.159915	0	0	0.41283
21.6474	0.109812	0.582999	0.307203	0.476246	0.174816	0	0	0.410558
22.0804	0.116589	0.578025	0.3054	0.485848	0.189317	0	0	0.408318
22.522	0.120463	0.575133	0.304419	0.489849	0.199519	0	0	0.406108
22.9724	0.125915	0.5657	0.308401	0.505449	0.21272	0	0	0.403929
23.4319	0.132325	0.564053	0.303638	0.515751	0.228021	0	0	0.401779
23.9005	0.138095	0.55918	0.302741	0.525352	0.242723	0	0	0.39966
24.3785	0.139293	0.548966	0.311758	0.554553	0.249724	0	0	0.397569
24.8661	0.142304	0.546954	0.31076	0.554755	0.260225	0	0	0.395507
25.3634	0.149593	0.542567	0.307857	0.564655	0.279026	0	0	0.393474
25.8707	0.149236	0.538823	0.311958	0.584556	0.283928	0	0	0.391469
26.3881	0.151991	0.533897	0.31413	0.607058	0.294228	0.0004	0	0.389491
26.9159	0.156428	0.524136	0.319454	0.631561	0.308729	0.00050004	0	0.38754
27.4542	0.15663	0.518769	0.324619	0.646463	0.315331	0.00050005	0	0.385616
28.0033	0.16498	0.512546	0.322492	0.658865	0.339032	0.00040005	0	0.383719
28.5633	0.16119	0.507204	0.331625	0.690366	0.335334	0.00180004	0	0.381848
29.1346	0.168511	0.50387	0.327638	0.693769	0.358334	0.00150018	0	0.380003
29.7173	0.169449	0.496895	0.333675	0.725869	0.365436	0.00270015	0	0.378183
30.3117	0.171517	0.491825	0.336677	0.742473	0.378537	0.00210027	0	0.376388
30.9179	0.179378	0.482111	0.33853	0.759174	0.404238	0.00200021	0	0.374618
31.5362	0.179272	0.479444	0.341304	0.788576	0.41034	0.0030002	0	0.372872
32.167	0.183654	0.47383	0.342536	0.804979	0.428841	0.0031003	0	0.37115
32.8103	0.186578	0.466956	0.346486	0.83798	0.444043	0.00340031	0	0.369452
33.4665	0.193635	0.464061	0.342325	0.834284	0.468244	0.00460034	0	0.367777
34.1358	0.19361	0.459171	0.34724	0.873383	0.476447	0.00530046	0	0.366126
34.8186	0.192721	0.454085	0.353216	0.895587	0.483348	0.00560053	0	0.364497
35.5149	0.20191	0.453909	0.344202	0.89249	0.519748	0.00420056	0	0.36289
36.2252	0.203199	0.44503	0.351793	0.929889	0.529752	0.00640042	0	0.361306
36.9497	0.208265	0.440126	0.351631	0.950393	0.556153	0.00540064	0	0.359743
37.6887	0.210777	0.439442	0.349803	0.965595	0.570456	0.00760054	0	0.358202
38.4425	0.210664	0.434372	0.354987	1.0119	0.581457	0.00780076	0	0.356682
