# k	P,z=7	P,z=8	P,z=9
1.130758183652071924e-01	1.623814379882812500e+05	2.711546790364583139e+05	1.286375212402343750e+05
1.290844385835289432e-01	9.472817204454209423e+04	1.802484260886863340e+05	1.569372659505208430e+05
1.473594666421791377e-01	8.615305325786884350e+04	1.600227319242037192e+05	1.540823236741285946e+05
1.682217674519777273e-01	8.345601862657335005e+04	1.151889377760145435e+05	6.162405906168619549e+04
1.920376321216087645e-01	7.644994793955485511e+04	1.029606650161743164e+05	5.650529783884684002e+04
2.192252091359224719e-01	4.351781622182722640e+04	4.910358095843500632e+04	2.480738723297599427e+04
2.502618460232571840e-01	3.587161020994497812e+04	3.696343324125202344e+04	1.566094214156907947e+04
2.856924704135483384e-01	2.443865418833989315e+04	2.046583863430086421e+04	1.016339284547698117e+04
3.261391576381607593e-01	1.500385966719154021e+04	1.305581954643268000e+04	6.296869276198157422e+03
3.723120528551558950e-01	1.030298012050757825e+04	8.873012441102287994e+03	4.085583644807727524e+03
4.250218394658699106e-01	7.348041506258968184e+03	5.729508352246352842e+03	2.661768579640087864e+03
4.851939727377808098e-01	5.204151545363610239e+03	3.735334697989538654e+03	1.719920672833379285e+03
5.538849285413590673e-01	3.382836006760533110e+03	2.455645962816163319e+03	1.115448306980534880e+03
6.323007524890830178e-01	2.485143812547416474e+03	1.714142163512205116e+03	7.037902635962421982e+02
7.218182351542481445e-01	1.709201819897537916e+03	1.150208197959337440e+03	4.709207996414018567e+02
8.240090851547567929e-01	1.169086757143254999e+03	7.896527634471683541e+02	3.267050270491816946e+02
9.406675245222684278e-01	8.547152085848034631e+02	5.652878194365750915e+02	2.241674101174806424e+02
