fHI	fHeI	fHeII	z	T(K)
0.9999	0.9999	0.001	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	0.545577	0.454433	0.2928	0	0	0	1
10.404	0	0.53027	0.469739	0.308329	0	0	0	1
10.6121	0	0.50719	0.492819	0.339831	0	0	0	1
10.8243	0	0.29365	0.70636	0.501034	0	0	0	1
11.0408	0	0.276369	0.72364	0.52995	0	0	0	0.202931
11.2616	0	0.274438	0.725571	0.543553	0	0	0	0.201676
11.4869	0	0.196684	0.803325	0.617054	0	0	0	0.200437
11.7166	0	0.199117	0.800891	0.637362	0	0	0	0.199216
11.9509	0	0.176675	0.823333	0.667964	0	0	0	0.198011
12.1899	0	0.1719	0.828108	0.681967	0	0	0	0.196823
12.4337	0	0.184002	0.816006	0.681268	0	0	0	0.195651
12.6824	0	0.188953	0.811055	0.687868	0	0	0	0.194496
12.9361	0	0.176235	0.823773	0.719969	0	0	0	0.193356
13.1948	0	0.191089	0.808919	0.721572	0	0	0	0.192232
13.4587	0	0.19759	0.802417	0.720972	0	0	0	0.191123
13.7279	0.0167401	0.210307	0.77296	0.710272	0.0169	0	0	0.19003
14.0024	0.0178702	0.222299	0.759839	0.697071	0.0184017	0	0	0.188952
14.2825	0.0236133	0.234725	0.74167	0.70377	0.0248018	0	0	0.187889
14.5681	0.0378987	0.245581	0.71653	0.69467	0.0406025	0	0	0.18684
14.8595	0.0518902	0.257997	0.690123	0.695169	0.0567041	0	0	0.185805
15.1567	0.0677409	0.270158	0.662113	0.68107	0.0755057	0	0	0.184785
15.4598	0.0775849	0.282078	0.64035	0.683968	0.0882076	0	0	0.183779
15.769	0.0921902	0.293101	0.614723	0.672468	0.106909	0	0	0.182787
16.0844	0.106701	0.304845	0.588469	0.661367	0.126211	0	0	0.181809
16.4061	0.116462	0.315634	0.56792	0.648266	0.140513	0	0	0.180844
16.7342	0.128319	0.326361	0.545337	0.639365	0.157914	0	0	0.179892
17.0689	0.137754	0.338037	0.524226	0.636664	0.172916	0	0	0.178953
17.4102	0.145364	0.349093	0.505561	0.626864	0.186117	0	0	0.178028
17.7584	0.152546	0.358975	0.488498	0.616763	0.199219	0	0	0.177115
18.1136	0.157663	0.370508	0.471849	0.612762	0.21002	0	0	0.176214
18.4759	0.161712	0.380871	0.457437	0.604861	0.219721	0	0	0.175326
18.8454	0.163304	0.392767	0.443949	0.60036	0.226322	0	0	0.17445
19.2223	0.170218	0.402182	0.42762	0.59756	0.240623	0	0	0.173587
19.6068	0.175412	0.412074	0.412535	0.58966	0.252924	0	0	0.172735
19.9989	0.184076	0.4216	0.394345	0.571759	0.270725	0	0	0.171895
20.3989	0.181735	0.320218	0.498069	0.717757	0.272627	0	0	0.171066
20.8069	0.185034	0.321913	0.493075	0.728272	0.283127	0	0	0.170249
21.223	0.187813	0.274198	0.538011	0.805973	0.293128	0	0	0.169443
21.6474	0.189157	0.254482	0.556384	0.844981	0.301129	0	0	0.168648
22.0804	0.187172	0.25891	0.553939	0.863184	0.30393	0	0	0.167864
22.522	0.189359	0.242244	0.568419	0.899486	0.31363	0	0	0.167091
22.9724	0.186475	0.213493	0.600053	0.97519	0.315031	0	0	0.166329
23.4319	0.190363	0.225024	0.584634	0.967598	0.328032	0	0	0.165577
23.9005	0.189988	0.222031	0.588003	0.990597	0.333933	0	0	0.164835
24.3785	0.194463	0.225754	0.579805	1.002	0.348633	0	0	0.164104
24.8661	0.197772	0.214307	0.587943	1.0326	0.360935	0.0004	0	0.163383
25.3634	0.201595	0.215472	0.582956	1.0374	0.374936	0.00060004	0	0.162671
25.8707	0.209228	0.218299	0.572495	1.043	0.396437	0.00090006	0	0.16197
26.3881	0.210817	0.221575	0.567631	1.0549	0.40694	0.00120009	0	0.161278
26.9159	0.216817	0.222527	0.560679	1.08071	0.427541	0.00090012	0	0.160595
27.4542	0.223622	0.229089	0.547313	1.07701	0.450043	0.00080009	0	0.159922
28.0033	0.228505	0.23713	0.534389	1.08091	0.468045	0.00140008	0	0.159259
28.5633	0.231654	0.244156	0.524216	1.07711	0.483347	0.00180014	0	0.158604
29.1346	0.237327	0.246644	0.516055	1.08691	0.504148	0.00240018	0	0.157959
29.7173	0.242254	0.259666	0.498106	1.06871	0.52165	0.00430024	0	0.157322
30.3117	0.24436	0.267655	0.488012	1.08141	0.536752	0.00440043	0	0.156694
30.9179	0.24483	0.23486	0.520336	1.15721	0.548354	0.00460044	0	0.156075
31.5362	0.249134	0.222716	0.528177	1.19672	0.570555	0.00400046	0	0.155464
32.167	0.245597	0.227829	0.526601	1.22322	0.572657	0.0046004	0	0.154861
32.8103	0.24948	0.215582	0.534965	1.27132	0.591657	0.00570046	0	0.154267
33.4665	0.253517	0.203799	0.542711	1.31853	0.615259	0.00480057	0	0.153682
34.1358	0.251014	0.208117	0.540896	1.33813	0.618562	0.00640048	0	0.153104
34.8186	0.253388	0.206283	0.540356	1.35953	0.637062	0.00650064	0	0.152534
35.5149	0.256824	0.201879	0.541324	1.38084	0.661364	0.00520065	0	0.151972
36.2252	0.26152	0.198391	0.540117	1.41054	0.686566	0.00560052	0	0.151417
36.9497	0.265735	0.2027	0.531593	1.42884	0.710869	0.00620056	0	0.150871
37.6887	0.265576	0.198314	0.536139	1.46614	0.721071	0.00830062	0	0.150332
38.4425	0.272235	0.202786	0.525007	1.48085	0.753172	0.00910083	0	0.1498
39.2114	0.275648	0.203107	0.521274	1.48645	0.775875	0.0105009	0	0.149276
39.9956	0.27727	0.206875	0.515884	1.50695	0.795278	0.0112011	0	0.148758
40.7955	0.283151	0.201525	0.515352	1.52665	0.83068	0.0104011	0	0.148248
41.6114	0.280409	0.195532	0.524089	1.59455	0.836383	0.012001	0	0.147745
42.4436	0.28561	0.203525	0.510895	1.58706	0.870684	0.0115012	0	0.147249
43.2925	0.287695	0.195621	0.516713	1.62806	0.893887	0.0122012	0	0.14676
44.1584	0.289293	0.19295	0.517787	1.67436	0.916489	0.0127012	0	0.146277
45.0415	0.292188	0.190911	0.516931	1.71297	0.940892	0.0149013	0	0.145802
45.9424	0.291786	0.186672	0.521571	1.74657	0.959794	0.0144015	0	0.145332
46.8612	0.293446	0.185803	0.520781	1.78277	0.986496	0.0137014	0	0.144869
47.7984	0.295628	0.18504	0.519362	1.82418	1.0115	0.0153014	0	0.144413
48.7544	0.296834	0.184137	0.51906	1.85718	1.0357	0.0158015	0	0.143963
49.7295	0.297724	0.184865	0.517441	1.88689	1.0559	0.0182016	0	0.143518
50.7241	0.300673	0.185214	0.514143	1.91839	1.08561	0.0199018	0	0.143081
51.7386	0.308442	0.182226	0.509363	1.93969	1.13561	0.021002	0	0.142649
52.7733	0.306567	0.180886	0.512578	1.98689	1.14981	0.0221021	0	0.142223
53.8288	0.305296	0.178115	0.51662	2.0535	1.16821	0.0223022	0	0.141803
54.9054	0.308002	0.177679	0.514349	2.07421	1.19952	0.0244022	0	0.141388
56.0035	0.309695	0.175973	0.514364	2.11271	1.23172	0.0242024	0	0.14098
57.1235	0.311852	0.174483	0.513696	2.17681	1.26412	0.0254024	0	0.140577
58.266	0.315298	0.175283	0.509451	2.18212	1.30003	0.0282025	0	0.140179
59.4313	0.314886	0.172049	0.513097	2.24602	1.32163	0.0302028	0	0.139787
60.62	0.318169	0.17233	0.509533	2.27932	1.36433	0.029903	0	0.139401
61.8324	0.317937	0.169655	0.51244	2.33313	1.38984	0.030903	0	0.13902
63.069	0.321515	0.171802	0.506715	2.36413	1.43354	0.0319031	0	0.138644
64.3304	0.321835	0.168386	0.509811	2.41594	1.46144	0.0338032	0	0.138273
65.617	0.32583	0.169063	0.505139	2.45824	1.51045	0.0342034	0	0.137907
66.9293	0.327178	0.167872	0.504983	2.50325	1.54455	0.0364034	0	0.137546
68.2679	0.327031	0.164426	0.508575	2.57825	1.57005	0.0397036	0	0.137191
69.6333	0.32937	0.164924	0.505739	2.61226	1.61306	0.040704	0	0.13684
71.0259	0.331311	0.164695	0.504027	2.64946	1.65096	0.0440041	0	0.136494
72.4465	0.332963	0.162036	0.505035	2.70956	1.69257	0.0450044	0	0.136153
73.8954	0.333393	0.163115	0.503526	2.76327	1.72767	0.0465045	0	0.135816
75.3733	0.333639	0.162509	0.503885	2.81918	1.77087	0.0434047	0	0.135484
76.8808	0.333375	0.160935	0.505724	2.88538	1.79968	0.0471043	0	0.135157
78.4184	0.338631	0.160412	0.50099	2.90439	1.85268	0.0554047	0	0.134834
79.9867	0.336069	0.160125	0.50384	2.98429	1.88589	0.0503055	0	0.134516
81.5865	0.339758	0.159243	0.501033	3.0369	1.93689	0.056205	0	0.134202
83.2182	0.341369	0.158473	0.500192	3.0897	1.99149	0.0540056	0	0.133892
84.8826	0.342869	0.157667	0.499498	3.16931	2.0383	0.0564054	0	0.133587
86.5802	0.341951	0.155489	0.502595	3.22562	2.0579	0.0660056	0	0.133286
88.3118	0.343145	0.156466	0.500423	3.26712	2.11011	0.0655066	0	0.132988
90.0781	0.344447	0.155088	0.500499	3.35503	2.16041	0.0671066	0	0.132696
91.8796	0.346861	0.155019	0.498154	3.41994	2.21802	0.0695067	0	0.132407
93.7172	0.34609	0.153177	0.500768	3.49564	2.26572	0.066107	0	0.132122
95.5916	0.349093	0.153294	0.497648	3.53265	2.32333	0.0723066	0	0.131841
97.5034	0.350716	0.151999	0.49732	3.61835	2.38133	0.0738072	0	0.131563
99.4535	0.352942	0.152236	0.494858	3.67546	2.43254	0.0823074	0	0.13129
101.443	0.353743	0.152034	0.494258	3.72987	2.49104	0.0818082	0	0.131021
103.471	0.352502	0.150098	0.497435	3.83317	2.53095	0.0837082	0	0.130755
105.541	0.354445	0.15037	0.49522	3.91668	2.58535	0.0914084	0.0001	0.130492
107.652	0.354924	0.149164	0.495947	3.97819	2.64366	0.0919091	1e-08	0.130234
109.805	0.358643	0.149663	0.491729	4.0282	2.72536	0.0944092	1e-12	0.129979
112.001	0.356517	0.148269	0.49525	4.1503	2.76577	0.0944094	1e-16	0.129727
114.241	0.358999	0.148261	0.492775	4.21132	2.83668	0.0992094	1e-20	0.129479
116.526	0.358135	0.148172	0.493729	4.28562	2.87838	0.10541	1e-24	0.129235
118.856	0.357263	0.145956	0.496817	4.41273	2.92889	0.107211	1e-28	0.128993
121.233	0.360229	0.146609	0.493197	4.48884	3.02339	0.104111	1e-32	0.128755
123.658	0.359247	0.145787	0.495002	4.58865	3.0588	0.11511	1e-36	0.128521
126.131	0.359133	0.144969	0.495934	4.67676	3.12761	0.112612	1e-40	0.128289
128.654	0.362734	0.145027	0.492275	4.74657	3.22251	0.115811	1e-44	0.128061
131.227	0.362276	0.143873	0.493887	4.83817	3.27262	0.123612	1e-48	0.127836
133.851	0.363999	0.143203	0.492834	4.93508	3.35933	0.123712	1e-52	0.127614
136.528	0.363364	0.143727	0.492945	5.06609	3.42064	0.125912	1e-56	0.127395
139.259	0.363974	0.142114	0.493949	5.15191	3.49044	0.131113	1e-60	0.127179
142.044	0.365492	0.143104	0.491441	5.23572	3.56295	0.141013	1e-64	0.126966
144.885	0.368321	0.142487	0.489228	5.31632	3.66566	0.143114	1e-68	0.126756
147.783	0.365648	0.141248	0.493141	5.45803	3.71437	0.143514	1e-72	0.126549
150.738	0.368057	0.140107	0.491873	5.56135	3.81747	0.145214	1e-76	0.126344
153.753	0.366954	0.139975	0.493107	5.70816	3.87228	0.152915	0.0001	0.126143
156.828	0.369095	0.14057	0.490371	5.76117	3.97259	0.157215	1e-08	0.125944
159.965	0.370952	0.140957	0.488128	5.88248	4.0792	0.157416	1e-12	0.125748
163.164	0.370421	0.139608	0.490008	6.00809	4.15121	0.162116	0.0001	0.125555
166.427	0.371054	0.139443	0.48954	6.1424	4.23252	0.170816	1e-08	0.125364
169.756	0.371604	0.138695	0.489737	6.22881	4.31412	0.179717	1e-12	0.125176
173.151	0.373635	0.138906	0.487496	6.33212	4.43113	0.180618	1e-16	0.124991
176.614	0.372899	0.138844	0.488294	6.48323	4.51474	0.181718	1e-20	0.124808
180.146	0.37359	0.137647	0.488801	6.61315	4.61135	0.186918	1e-24	0.124628
183.749	0.372376	0.137272	0.49039	6.77276	4.67296	0.198519	1e-28	0.12445
187.424	0.374931	0.138014	0.487092	6.87428	4.80697	0.19932	0.0001	0.124274
191.173	0.374235	0.136291	0.489511	7.03799	4.89128	0.20422	0.00020001	0.124101
194.996	0.376711	0.136559	0.486767	7.116	5.00949	0.21712	2.0001e-08	0.123931
198.896	0.375611	0.136264	0.488162	7.30781	5.1009	0.217422	2.0001e-12	0.123762
202.874	0.376436	0.135813	0.487788	7.47723	5.19741	0.231622	2.0001e-16	0.123596
206.931	0.376492	0.135803	0.487741	7.59525	5.30842	0.232823	2.0001e-20	0.123433
211.07	0.379329	0.135913	0.484795	7.71216	5.46053	0.236423	2.0001e-24	0.123271
215.291	0.378697	0.1351	0.48624	7.89427	5.53665	0.253924	2.0001e-28	0.123112
219.597	0.378135	0.134143	0.487759	8.04989	5.64585	0.254825	2.0001e-32	0.122955
223.989	0.38071	0.134278	0.485049	8.2043	5.80786	0.256225	2.0001e-36	0.1228
228.469	0.380194	0.133792	0.486052	8.35722	5.89568	0.272226	2.0001e-40	0.122648
233.038	0.379907	0.133451	0.48668	8.56054	6.00659	0.278827	2.0001e-44	0.122497
237.699	0.381531	0.134342	0.484165	8.67676	6.1632	0.279928	2.0001e-48	0.122348
242.453	0.381125	0.133916	0.484997	8.86367	6.27362	0.288628	2.0001e-52	0.122202
247.302	0.383543	0.133652	0.482842	9.02959	6.41663	0.309029	2.0001e-56	0.122058
252.248	0.381967	0.132728	0.485342	9.2302	6.52364	0.310831	2.0001e-60	0.121915
257.293	0.383432	0.133266	0.48334	9.38262	6.69375	0.310231	0.0001	0.121774
262.439	0.382942	0.132022	0.485074	9.58704	6.80177	0.325731	1e-08	0.121636
267.688	0.383658	0.132325	0.484054	9.80536	6.93128	0.343433	0.0001	0.121499
273.042	0.384053	0.131583	0.484401	9.99368	7.05739	0.361834	1e-08	0.121364
278.502	0.382558	0.131715	0.485764	10.2288	7.19131	0.356136	1e-12	0.121231
284.072	0.384048	0.131549	0.48444	10.4148	7.36142	0.365936	1e-16	0.1211
289.754	0.384485	0.13092	0.484633	10.6258	7.50714	0.379237	1e-20	0.120971
295.549	0.38331	0.130875	0.485853	10.8531	7.62395	0.391138	1e-24	0.120844
301.46	0.385096	0.130744	0.484198	11.0162	7.81966	0.396939	1e-28	0.120718
307.489	0.384918	0.130157	0.484962	11.2558	7.95508	0.41404	0.0001	0.120594
313.639	0.384641	0.130305	0.485092	11.499	8.1107	0.420941	1e-08	0.120471
319.912	0.385923	0.12997	0.484144	11.7309	8.30541	0.427842	0.0001	0.120351
326.31	0.387142	0.129811	0.483085	11.9183	8.47103	0.452843	0.00010001	0.120232
332.836	0.386868	0.129492	0.483678	12.2006	8.64815	0.453945	0.00010001	0.120114
339.493	0.387678	0.129433	0.482928	12.3919	8.81276	0.479045	1.0001e-08	0.119999
346.283	0.386391	0.129207	0.484441	12.7169	8.96488	0.483848	1.0001e-12	0.119885
353.208	0.387016	0.128704	0.484318	12.9731	9.1448	0.501948	0.0001	0.119772
360.272	0.386879	0.128651	0.484508	13.2119	9.32141	0.51345	0.00010001	0.119661
367.478	0.385994	0.127908	0.486136	13.5545	9.48483	0.523451	1.0001e-08	0.119551
374.827	0.38717	0.128166	0.484702	13.7738	9.69785	0.538952	1.0001e-12	0.119443
382.324	0.388723	0.12807	0.483245	13.9636	9.89437	0.572454	1.0001e-16	0.119337
