fHI	fHeI	fHeII	z	T(K)
0.1	0.1	0.9	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	1.00001	0	0	0	0	0	1
10.404	0	1.00001	0	0	0	0	0	1
10.6121	0	1.00001	0	0	0	0	0	1
10.8243	0	1.00001	0	0	0	0	0	1
11.0408	0	0.999917	9.2371e-05	0.0001	0	0	0	0.995818
11.2616	0	1.00001	8.20228e-10	1e-08	0	0	0	0.995754
11.4869	0	1.00001	7.14058e-15	1e-12	0	0	0	0.99569
11.7166	0	1.00001	6.09441e-20	1e-16	0	0	0	0.995626
11.9509	0	1.00001	5.09953e-25	1e-20	0	0	0	0.995564
12.1899	0	1.00001	4.18339e-30	1e-24	0	0	0	0.995503
12.4337	0	1.00001	3.36455e-35	1e-28	0	0	0	0.995442
12.6824	0	0.999927	8.04145e-05	1e-32	0	0	0	0.995383
12.9361	0	1.00001	6.2163e-10	1e-36	0	0	0	0.995324
13.1948	0	1.00001	4.71118e-15	1e-40	0	0	0	0.995266
13.4587	0	0.999932	7.57764e-05	1e-44	0	0	0	0.995208
13.7279	0	1.00001	5.5199e-10	1e-48	0	0	0	0.995152
14.0024	0	0.999789	0.000218502	0.0001	0	0	0	0.995096
14.2825	0	1.00001	1.52986e-09	1e-08	0	0	0	0.995041
14.5681	0	0.999832	0.000175014	0.0001	0	0	0	0.994987
14.8595	0	0.999938	6.86342e-05	0.00010001	0	0	0	0.994933
15.1567	0	1.00001	4.52832e-10	1.0001e-08	0	0	0	0.994881
15.4598	8.79572e-05	0.999853	6.59679e-05	0.0001	0.0001	0	0	0.994829
15.769	8.62325e-09	0.999877	0.000129349	0.00010001	1e-08	0	0	0.994778
16.0844	8.45417e-13	0.999864	0.000142665	0.00010001	1e-12	0	0	0.994727
16.4061	8.2884e-17	0.999944	6.21639e-05	0.00010001	1e-16	0	0	0.994677
16.7342	8.12588e-21	0.999945	6.09445e-05	1.0001e-08	1e-20	0	0	0.994628
17.0689	7.96655e-25	0.999871	0.000134436	0.0001	1e-24	0	0	0.994579
17.4102	0.000156207	0.999604	0.000245159	0.00030001	0.0002	0	0	0.994532
17.7584	1.53144e-08	0.999891	0.000114859	0.00020003	2e-08	0	0	0.994484
18.1136	1.50141e-12	1.00001	6.34105e-10	2.0003e-08	2e-12	0	0	0.994438
18.4759	1.47197e-16	0.999867	0.000137997	0.0002	2e-16	0	0	0.994392
18.8454	1.44311e-20	0.999938	6.76465e-05	0.00010002	2e-20	0	0	0.994347
19.2223	1.41481e-24	0.99973	0.000275103	0.00040001	2e-24	0	0	0.994302
19.6068	1.38707e-28	0.999901	0.000104032	0.00010004	2e-28	0	0	0.994258
19.9989	1.35988e-32	0.999814	0.000191233	0.00020001	2e-32	0	0	0.994215
20.3989	1.33321e-36	0.999855	0.000149987	0.00020002	2e-36	0	0	0.994172
20.8069	1.30707e-40	0.999907	9.80309e-05	0.00010002	2e-40	0	0	0.99413
21.223	0.000128144	0.999658	0.000218913	0.00020001	0.0002	0	0	0.994088
21.6474	1.25631e-08	0.999746	0.000259116	0.00030002	2e-08	0	0	0.994047
22.0804	1.23168e-12	0.999904	0.000100931	0.00020003	2e-12	0	0	0.994006
22.522	6.03765e-05	0.999596	0.000348004	0.00060002	0.0001	0	0	0.993966
22.9724	5.91986e-05	0.999601	0.000344059	0.00050006	0.00010001	0	0	0.993927
23.4319	5.80378e-09	0.999689	0.000315551	0.00050005	1.0001e-08	0	0	0.993888
23.9005	5.68941e-05	0.999819	0.000128013	0.00020005	0.0001	0	0	0.99385
24.3785	5.57786e-09	0.999826	0.000177795	0.00040002	1e-08	0	0	0.993812
24.8661	5.46849e-05	0.999808	0.00014089	0.00010004	0.0001	0	0	0.993775
25.3634	0.000107231	0.999593	0.000303805	0.00060001	0.00020001	0	0	0.993738
25.8707	0.000210256	0.999665	0.00012812	0.00030006	0.00040002	0	0	0.993702
26.3881	0.000103082	0.999785	0.000115945	0.00030003	0.00020004	0	0	0.993666
26.9159	5.05305e-05	0.999709	0.000243831	0.00060003	0.00010002	0	0	0.993631
27.4542	4.95347e-05	0.999792	0.000162348	0.00020006	0.00010001	0	0	0.993596
28.0033	0.000194239	0.999655	0.000154781	0.00040002	0.00040001	0	0	0.993562
28.5633	9.5232e-05	0.999723	0.000185137	0.00030004	0.00020004	0	0	0.993528
29.1346	9.33553e-05	0.99951	0.000400286	0.00060003	0.00020002	0	0	0.993495
29.7173	4.5767e-05	0.999565	0.000392438	0.00090006	0.00010002	0	0	0.993462
30.3117	0.000224308	0.999232	0.00054674	0.00140009	0.00050001	0	0	0.993429
30.9179	0.000175946	0.999331	0.000496621	0.00120014	0.00040005	0	0	0.993397
31.5362	0.00021561	0.999266	0.000521318	0.00120012	0.00050004	0	0	0.993366
32.167	0.000211387	0.999582	0.0002099	0.00050012	0.00050005	0	0	0.993335
32.8103	0.000248686	0.999568	0.0001865	0.00050005	0.00060005	0	0	0.993304
33.4665	0.000162551	0.99933	0.000510154	0.00130005	0.00040006	0	0	0.993274
34.1358	0.000318696	0.999113	0.000571246	0.00130013	0.00080004	0	0	0.993244
34.8186	0.000273408	0.999363	0.000366132	0.00120013	0.00070008	0	0	0.993214
35.5149	0.000114891	0.999515	0.000373044	0.00110012	0.00030007	0	0	0.993185
36.2252	0.000187698	0.9995	0.000314898	0.00110011	0.00050003	0	0	0.993157
36.9497	0.000515237	0.999174	0.000313835	0.00090011	0.00140005	0	0	0.993128
37.6887	0.000216529	0.999418	0.000368566	0.00100009	0.00060014	0	0	0.9931
38.4425	0.00014151	0.999529	0.000331616	0.0011001	0.00040006	0	0	0.993073
39.2114	0.000277444	0.99922	0.000505492	0.00160011	0.00080004	0	0	0.993046
39.9956	0.000340015	0.999148	0.000514705	0.00150016	0.00100008	0	0	0.993019
40.7955	0.00026669	0.999159	0.000576369	0.00180015	0.0008001	0	0	0.992993
41.6114	0.000326812	0.999109	0.000566656	0.00190018	0.00100008	0	0	0.992967
42.4436	0.000250185	0.999357	0.000394912	0.00130019	0.0006001	0.0001	0	0.992941
43.2925	0.00031412	0.999288	0.000400255	0.00110013	0.00100006	1e-08	0	0.992916
44.1584	0.000456026	0.999174	0.000372306	0.00110011	0.0013001	0.0001	0	0.992891
45.0415	0.000211374	0.999253	0.000537549	0.00180011	0.00070013	1e-08	0	0.992866
45.9424	0.00055102	0.999014	0.000436982	0.00160018	0.00150007	0.0002	0	0.992842
46.8612	0.000406301	0.999072	0.000523527	0.00180016	0.00140015	2e-08	0	0.992818
47.7984	0.000256078	0.999133	0.000613227	0.00220018	0.00090014	2e-12	0	0.992795
48.7544	0.000418387	0.999202	0.000381757	0.00170022	0.00150009	2e-16	0	0.992771
49.7295	0.000437544	0.998922	0.000642014	0.00280017	0.00160015	2e-20	0	0.992748
50.7241	0.000589814	0.998892	0.000520147	0.00210028	0.00220016	2e-24	0	0.992726
51.7386	0.000473136	0.998973	0.000555394	0.00200021	0.00180022	2e-28	0	0.992703
52.7733	0.000500545	0.998926	0.000575818	0.0018002	0.00140018	0.0003	0	0.992681
53.8288	0.00062674	0.998816	0.000558738	0.00210018	0.00230014	0.00010003	0	0.99266
54.9054	0.000594451	0.998904	0.000503753	0.00200021	0.00240023	1.0003e-08	0	0.992638
56.0035	0.000339987	0.999118	0.000543955	0.0020002	0.00140024	1.0003e-12	0	0.992617
57.1235	0.000476124	0.998761	0.000764226	0.0034002	0.00200014	1.0003e-16	0	0.992596
58.266	0.000555674	0.998698	0.000748107	0.00330034	0.0022002	0.0001	0	0.992576
59.4313	0.000682068	0.998622	0.000698006	0.00320033	0.00280022	0.00010001	0	0.992556
60.62	0.000395224	0.998797	0.000809406	0.00380032	0.00140028	0.00020001	0	0.992536
61.8324	0.000589594	0.998583	0.000828662	0.00410038	0.00250014	0.00010002	0	0.992516
63.069	0.000918883	0.998307	0.00077588	0.00370041	0.00390025	0.00020001	0	0.992496
64.3304	0.000689522	0.998491	0.000820998	0.00400037	0.00290039	0.00020002	0	0.992477
65.617	0.000717428	0.998672	0.000611914	0.0033004	0.00310029	0.00020002	0	0.992458
66.9293	0.000870618	0.998406	0.000725344	0.00350033	0.00320031	0.00060002	0	0.99244
68.2679	0.00073325	0.998105	0.00116289	0.00540035	0.00350032	0.00010006	0	0.992421
69.6333	0.000676056	0.998434	0.000891239	0.00440054	0.00310035	0.00020001	0	0.992403
71.0259	0.001031	0.998214	0.000756366	0.00400044	0.00430031	0.00060002	0	0.992385
72.4465	0.000942946	0.998283	0.000775947	0.0044004	0.00430043	0.00040006	0	0.992368
73.8954	0.000894711	0.998288	0.000818365	0.00450044	0.00450043	0.00020004	0	0.99235
75.3733	0.000642634	0.99841	0.000948525	0.00550045	0.00320045	0.00020002	0	0.992333
76.8808	0.00109738	0.997982	0.000922434	0.00510055	0.00490032	0.00050002	0.0001	0.992316
78.4184	0.000763082	0.99821	0.00102874	0.00630051	0.00400049	5.0002e-08	0.00010001	0.9923
79.9867	0.000741563	0.998309	0.000951193	0.00600063	0.0040004	0.0002	1.0001e-08	0.992283
81.5865	0.00100716	0.997933	0.00106159	0.0069006	0.0051004	0.00030002	0.0001	0.992267
83.2182	0.000794495	0.998157	0.00104986	0.00670069	0.00450051	0.00020003	1e-08	0.992251
84.8826	0.00116337	0.99784	0.000997677	0.00650067	0.00570045	0.00020002	0.0003	0.992235
86.5802	0.00093341	0.997916	0.00115175	0.00690065	0.00460057	0.00030002	0.00020003	0.99222
88.3118	0.00112474	0.998018	0.000858531	0.00540069	0.00560046	0.00050003	0.00020002	0.992204
90.0781	0.0011207	0.997941	0.0009394	0.00580054	0.00590056	0.00040005	0.00020002	0.992189
91.8796	0.00100993	0.997841	0.00114986	0.00830058	0.00530059	0.00040004	0.00020002	0.992174
93.7172	0.00104816	0.998007	0.000945947	0.00760083	0.00650053	0.00040004	2.0002e-08	0.992159
95.5916	0.00118136	0.997851	0.000968493	0.00720076	0.00660065	0.00050004	0.0002	0.992145
97.5034	0.00135881	0.997582	0.0010601	0.00800072	0.00840066	0.00030005	0.00020002	0.992131
99.4535	0.00120126	0.997675	0.00112506	0.0078008	0.00770084	0.00060003	2.0002e-08	0.992117
101.443	0.00116943	0.99771	0.00112189	0.00890078	0.00720077	0.00040006	0.0002	0.992103
103.471	0.00149682	0.997348	0.00115602	0.00940089	0.00940072	0.00110004	2e-08	0.992089
105.541	0.00126084	0.997485	0.00125513	0.0102009	0.00830094	0.00060011	0.0001	0.992075
107.652	0.00131431	0.997496	0.00119087	0.00940102	0.00750083	0.00050006	0.00050001	0.992062
