fHI	fHeI	fHeII	z	T(K)
0.999532	0.999532	0.0004677	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
10	0	1	0	0	0	0	0	1
10.2	0	0.940119	0.0598912	0.0365	0	0	0	1
10.404	0	0.936195	0.0638147	0.0425036	0	0	0	1
10.6121	0	0.926971	0.0730387	0.0507043	0	0	0	1
10.8243	0	0.871118	0.128891	0.0903051	0	0	0	1
11.0408	0	0.859142	0.140867	0.102509	0	0	0	0.32582
11.2616	0	0.857014	0.142995	0.10511	0	0	0	0.323637
11.4869	0	0.793407	0.206602	0.153911	0	0	0	0.321483
11.7166	0	0.785358	0.21465	0.165815	0	0	0	0.31936
11.9509	0	0.73589	0.264118	0.208717	0	0	0	0.317265
12.1899	0	0.705772	0.294236	0.239121	0	0	0	0.315199
12.4337	0	0.691943	0.308065	0.260424	0	0	0	0.313162
12.6824	0	0.641634	0.358374	0.307226	0	0	0	0.311153
12.9361	0	0.60779	0.392218	0.339931	0	0	0	0.309172
13.1948	0	0.572179	0.427829	0.379134	0	0	0	0.307217
13.4587	0	0.544771	0.455236	0.407938	0	0	0	0.30529
13.7279	0.00594324	0.520811	0.473253	0.439441	0.006	0	0	0.303389
14.0024	0.0050504	0.495835	0.499122	0.463344	0.0052006	0	0	0.301515
14.2825	0.00637941	0.473658	0.51997	0.493746	0.00670052	0	0	0.299666
14.5681	0.0148418	0.460349	0.524817	0.512149	0.0159007	0	0	0.297843
14.8595	0.0207744	0.443654	0.53558	0.530651	0.0227016	0	0	0.296044
15.1567	0.0296084	0.433198	0.537202	0.547553	0.0330023	0	0	0.294271
15.4598	0.0357135	0.413592	0.550703	0.576255	0.0406033	0	0	0.292522
15.769	0.0470002	0.407964	0.545046	0.588558	0.0545041	0	0	0.290797
16.0844	0.0552949	0.40607	0.538646	0.589959	0.0654055	0	0	0.289096
16.4061	0.0651523	0.400187	0.534672	0.605859	0.0786065	0	0	0.287418
16.7342	0.0821591	0.39646	0.521393	0.603261	0.101108	0	0	0.285763
17.0689	0.0874011	0.39448	0.518133	0.61186	0.10971	0	0	0.284131
17.4102	0.098497	0.398527	0.50299	0.611161	0.126111	0	0	0.282522
17.7584	0.109737	0.401422	0.488856	0.607361	0.143313	0	0	0.280934
18.1136	0.122451	0.400608	0.476956	0.604461	0.163114	0	0	0.279369
18.4759	0.131606	0.404058	0.464353	0.60256	0.178816	0	0	0.277825
18.8454	0.132707	0.413833	0.453477	0.59966	0.183918	0	0	0.276302
19.2223	0.145173	0.416494	0.438351	0.60106	0.205218	0	0	0.2748
19.6068	0.153771	0.42542	0.420827	0.59336	0.221721	0	0	0.273319
19.9989	0.153069	0.433936	0.413015	0.597859	0.225122	0	0	0.271859
20.3989	0.1654	0.432567	0.402053	0.59466	0.248123	0	0	0.270418
20.8069	0.164707	0.439374	0.39594	0.598859	0.252025	0	0	0.268997
21.223	0.169423	0.43993	0.390668	0.60436	0.264425	0	0	0.267596
21.6474	0.173011	0.430137	0.396873	0.62646	0.275426	0	0	0.266214
22.0804	0.176209	0.433451	0.390361	0.625363	0.286128	0	0	0.264852
22.522	0.174143	0.428739	0.397139	0.649663	0.288429	0	0	0.263508
22.9724	0.183929	0.411456	0.404636	0.670665	0.310729	0	0	0.262182
23.4319	0.178176	0.405545	0.4163	0.706667	0.307031	0	0	0.260875
23.9005	0.181168	0.394699	0.424153	0.738271	0.318431	0	0	0.259585
24.3785	0.181912	0.383389	0.434721	0.760274	0.326132	0	0	0.258314
24.8661	0.182272	0.368382	0.449367	0.804576	0.333133	0.0001	0	0.25706
25.3634	0.182602	0.361461	0.455958	0.82998	0.340233	0.00020001	0	0.255823
25.8707	0.188273	0.350159	0.461589	0.853183	0.357834	0.00020002	0	0.254603
26.3881	0.188314	0.342234	0.469474	0.891585	0.364536	0.00050002	0	0.2534
